date,price
23/10/2018,"1,236.0"
24/10/2018,"1,230.6"
25/10/2018,"1,230.8"
26/10/2018,"1,233.9"
29/10/2018,"1,230.8"
30/10/2018,"1,225.4"
31/10/2018,"1,215.0"
01/11/2018,"1,231.2"
02/11/2018,"1,232.1"
05/11/2018,"1,232.3"
06/11/2018,"1,231.6"
07/11/2018,"1,230.0"
08/11/2018,"1,224.2"
09/11/2018,"1,211.4"
12/11/2018,"1,205.6"
13/11/2018,"1,202.1"
14/11/2018,"1,203.3"
15/11/2018,"1,211.9"
16/11/2018,"1,222.4"
19/11/2018,"1,221.6"
20/11/2018,"1,223.0"
21/11/2018,"1,226.1"
22/11/2018,"1,227.1"
23/11/2018,"1,223.7"
26/11/2018,"1,223.4"
27/11/2018,"1,221.2"
28/11/2018,"1,213.3"
29/11/2018,"1,226.3"
30/11/2018,"1,217.6"
03/12/2018,"1,230.3"
04/12/2018,"1,240.3"
05/12/2018,"1,235.9"
06/12/2018,"1,242.6"
07/12/2018,"1,243.3"
10/12/2018,"1,245.4"
11/12/2018,"1,245.3"
12/12/2018,"1,245.8"
13/12/2018,"1,242.8"
14/12/2018,"1,235.4"
17/12/2018,"1,241.7"
18/12/2018,"1,246.3"
19/12/2018,"1,255.0"
20/12/2018,"1,259.8"
21/12/2018,"1,258.2"
24/12/2018,"1,258.2"
25/12/2018,"1,258.2"
26/12/2018,"1,258.2"
27/12/2018,"1,268.0"
28/12/2018,"1,279.0"
31/12/2018,"1,279.0"
01/01/2019,"1,279.0"
02/01/2019,"1,282.9"
03/01/2019,"1,290.5"
04/01/2019,"1,279.9"
07/01/2019,"1,292.2"
08/01/2019,"1,286.5"
09/01/2019,"1,288.6"
10/01/2019,"1,291.9"
11/01/2019,"1,289.0"
14/01/2019,"1,292.8"
15/01/2019,"1,294.4"
16/01/2019,"1,292.3"
17/01/2019,"1,290.7"
18/01/2019,"1,284.2"
21/01/2019,"1,279.6"
22/01/2019,"1,282.1"
23/01/2019,"1,279.8"
24/01/2019,"1,283.7"
25/01/2019,"1,293.9"
28/01/2019,"1,302.2"
29/01/2019,"1,307.6"
30/01/2019,"1,310.7"
31/01/2019,"1,323.3"
01/02/2019,"1,318.7"
04/02/2019,"1,312.2"
05/02/2019,"1,314.2"
06/02/2019,"1,312.4"
07/02/2019,"1,310.0"
08/02/2019,"1,314.9"
11/02/2019,"1,306.4"
12/02/2019,"1,310.0"
13/02/2019,"1,312.8"
14/02/2019,"1,311.5"
15/02/2019,"1,316.6"
18/02/2019,"1,325.5"
19/02/2019,"1,334.2"
20/02/2019,"1,343.8"
21/02/2019,"1,331.3"
22/02/2019,"1,329.1"
25/02/2019,"1,331.1"
26/02/2019,"1,325.1"
27/02/2019,"1,322.9"
28/02/2019,"1,319.2"
01/03/2019,"1,312.0"
04/03/2019,"1,285.4"
05/03/2019,"1,283.8"
06/03/2019,"1,285.9"
07/03/2019,"1,285.3"
08/03/2019,"1,296.8"
11/03/2019,"1,292.8"
12/03/2019,"1,297.1"
13/03/2019,"1,307.0"
14/03/2019,"1,295.6"
15/03/2019,"1,303.5"
18/03/2019,"1,305.6"
19/03/2019,"1,307.7"
20/03/2019,"1,303.7"
21/03/2019,"1,309.6"
22/03/2019,"1,311.3"
25/03/2019,"1,319.6"
26/03/2019,"1,316.3"
27/03/2019,"1,309.7"
28/03/2019,"1,295.2"
29/03/2019,"1,295.4"
01/04/2019,"1,293.5"
02/04/2019,"1,290.3"
03/04/2019,"1,290.5"
04/04/2019,"1,283.2"
05/04/2019,"1,288.5"
08/04/2019,"1,300.0"
09/04/2019,"1,303.0"
10/04/2019,"1,305.5"
11/04/2019,"1,298.8"
12/04/2019,"1,294.3"
15/04/2019,"1,285.7"
16/04/2019,"1,276.4"
17/04/2019,"1,275.9"
18/04/2019,"1,275.7"
19/04/2019,"1,275.7"
22/04/2019,"1,275.7"
23/04/2019,"1,269.5"
24/04/2019,"1,271.7"
25/04/2019,"1,280.8"
26/04/2019,"1,284.2"
29/04/2019,"1,279.5"
30/04/2019,"1,282.3"
01/05/2019,"1,283.8"
02/05/2019,"1,271.0"
03/05/2019,"1,278.6"
06/05/2019,"1,278.6"
07/05/2019,"1,281.2"
08/05/2019,"1,285.2"
09/05/2019,"1,286.1"
10/05/2019,"1,287.1"
13/05/2019,"1,295.6"
14/05/2019,"1,298.4"
15/05/2019,"1,299.1"
16/05/2019,"1,291.7"
17/05/2019,"1,280.8"
20/05/2019,"1,276.9"
21/05/2019,"1,271.2"
22/05/2019,"1,273.8"
23/05/2019,"1,283.7"
24/05/2019,"1,282.5"
27/05/2019,"1,282.5"
28/05/2019,"1,278.3"
29/05/2019,"1,281.7"
30/05/2019,"1,281.0"
31/05/2019,"1,295.6"
03/06/2019,"1,317.1"
04/06/2019,"1,324.3"
05/06/2019,"1,335.1"
06/06/2019,"1,335.5"
07/06/2019,"1,340.7"
10/06/2019,"1,328.6"
11/06/2019,"1,324.3"
12/06/2019,"1,332.4"
13/06/2019,"1,335.9"
14/06/2019,"1,351.3"
17/06/2019,"1,341.3"
18/06/2019,"1,341.4"
